year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize,overallrank,sizerank
2018-2019,21780,"Evansville, IN-KY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.000722,1,Midsized,113,46
2009-2019,21820,"Fairbanks, AK",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.067657001,0,,,
2014-2019,21820,"Fairbanks, AK",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.069213003,0,,,
2018-2019,21820,"Fairbanks, AK",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.009791,0,,,
2009-2019,21840,"Fairfield, IA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.010606,0,,,
2014-2019,21840,"Fairfield, IA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.006131,0,,,
2018-2019,21840,"Fairfield, IA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.022754,0,,,
2009-2019,21860,"Fairmont, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.008839,0,,,
2014-2019,21860,"Fairmont, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,3E-05,0,,,
2018-2019,21860,"Fairmont, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.002602,0,,,
2009-2019,21900,"Fairmont, WV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.021191999,0,,,
2014-2019,21900,"Fairmont, WV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.000299,0,,,
2018-2019,21900,"Fairmont, WV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.022402,0,,,
2009-2019,21980,"Fallon, NV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.040539,0,,,
2014-2019,21980,"Fallon, NV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018546,0,,,
2018-2019,21980,"Fallon, NV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.00163,0,,,
2009-2019,22020,"Fargo, ND-MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.047295,0,,,
2014-2019,22020,"Fargo, ND-MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.016667999,0,,,
2018-2019,22020,"Fargo, ND-MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.011945,0,,,
2009-2019,22060,"Faribault-Northfield, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.032671999,0,,,
2014-2019,22060,"Faribault-Northfield, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.020121999,0,,,
2018-2019,22060,"Faribault-Northfield, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.003908,0,,,
2009-2019,22100,"Farmington, MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.035330001,0,,,
2014-2019,22100,"Farmington, MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018885,0,,,
2018-2019,22100,"Farmington, MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.003559,0,,,
2009-2019,22140,"Farmington, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.02781,0,,,
2014-2019,22140,"Farmington, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.014351,0,,,
2018-2019,22140,"Farmington, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.056345001,0,,,
2009-2019,22180,"Fayetteville, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.050221,1,Large,7,2
2014-2019,22180,"Fayetteville, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.020237001,1,Large,78,17
2018-2019,22180,"Fayetteville, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.014187,1,Large,43,8
2009-2019,22220,"Fayetteville-Springdale-Rogers, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.0141,1,Large,112,29
2014-2019,22220,"Fayetteville-Springdale-Rogers, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.006516,1,Large,145,41
2018-2019,22220,"Fayetteville-Springdale-Rogers, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.0124,1,Large,158,43
2009-2019,22260,"Fergus Falls, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.013608,0,,,
2014-2019,22260,"Fergus Falls, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018664001,0,,,
2018-2019,22260,"Fergus Falls, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.015225,0,,,
2009-2019,22280,"Fernley, NV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.010744,0,,,
2014-2019,22280,"Fernley, NV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.00878,0,,,
2018-2019,22280,"Fernley, NV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.021299999,0,,,
2009-2019,22300,"Findlay, OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.004733,0,,,
2014-2019,22300,"Findlay, OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.033634,0,,,
2018-2019,22300,"Findlay, OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.011502,0,,,
2009-2019,22340,"Fitzgerald, GA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.026741,0,,,
2014-2019,22340,"Fitzgerald, GA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.031392001,0,,,
2018-2019,22340,"Fitzgerald, GA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.000209,0,,,
2009-2019,22380,"Flagstaff, AZ",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.035668999,0,,,
2014-2019,22380,"Flagstaff, AZ",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.007822,0,,,
2018-2019,22380,"Flagstaff, AZ",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.00502,0,,,
2009-2019,22420,"Flint, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.025195001,1,Midsized,60,33
2014-2019,22420,"Flint, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.029359,1,Midsized,43,26
2018-2019,22420,"Flint, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.007359,1,Midsized,143,61
2009-2019,22500,"Florence, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.051394001,0,,,
2014-2019,22500,"Florence, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.077209003,0,,,
2018-2019,22500,"Florence, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.024294,0,,,
2009-2019,22520,"Florence-Muscle Shoals, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.020616001,0,,,
2014-2019,22520,"Florence-Muscle Shoals, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.024483999,0,,,
2018-2019,22520,"Florence-Muscle Shoals, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.029908,0,,,
2009-2019,22540,"Fond du Lac, WI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.060637999,0,,,
2014-2019,22540,"Fond du Lac, WI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.032538,0,,,
2018-2019,22540,"Fond du Lac, WI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.032593999,0,,,
2009-2019,22580,"Forest City, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.079593003,0,,,
2014-2019,22580,"Forest City, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.027930001,0,,,
2018-2019,22580,"Forest City, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.052065,0,,,
2009-2019,22620,"Forrest City, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.021927999,0,,,
2014-2019,22620,"Forrest City, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.000816,0,,,
2018-2019,22620,"Forrest City, AR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.015656,0,,,
2009-2019,22660,"Fort Collins, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.025405001,1,Midsized,59,32
2014-2019,22660,"Fort Collins, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.004787,1,Midsized,152,62
2018-2019,22660,"Fort Collins, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.013271,1,Midsized,160,68
2009-2019,22700,"Fort Dodge, IA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.049885999,0,,,
2014-2019,22700,"Fort Dodge, IA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.029784,0,,,
2018-2019,22700,"Fort Dodge, IA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.009877,0,,,
2009-2019,22780,"Fort Leonard Wood, MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.00794,0,,,
2014-2019,22780,"Fort Leonard Wood, MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018792,0,,,
2018-2019,22780,"Fort Leonard Wood, MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,7.7E-05,0,,,
2009-2019,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.015698001,0,,,
2014-2019,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.016233999,0,,,
2018-2019,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.012313,0,,,
2009-2019,22820,"Fort Morgan, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.049098998,0,,,
2014-2019,22820,"Fort Morgan, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.00109,0,,,
2018-2019,22820,"Fort Morgan, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.014195,0,,,
2009-2019,22840,"Fort Payne, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.023755001,0,,,
2014-2019,22840,"Fort Payne, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.005775,0,,,
2018-2019,22840,"Fort Payne, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.008194,0,,,
2009-2019,22860,"Fort Polk South, LA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.058848001,0,,,
2014-2019,22860,"Fort Polk South, LA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.054825,0,,,
2018-2019,22860,"Fort Polk South, LA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.082434997,0,,,
2009-2019,22900,"Fort Smith, AR-OK",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.024567001,1,Midsized,63,34
2014-2019,22900,"Fort Smith, AR-OK",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.034713,1,Midsized,28,20
2018-2019,22900,"Fort Smith, AR-OK",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.038922001,1,Midsized,2,2
2009-2019,23060,"Fort Wayne, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.040006999,1,Midsized,20,13
2014-2019,23060,"Fort Wayne, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.027233999,1,Midsized,51,30
2018-2019,23060,"Fort Wayne, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.01366,1,Midsized,163,70
2009-2019,23140,"Frankfort, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.063073002,0,,,
2014-2019,23140,"Frankfort, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.003768,0,,,
2018-2019,23140,"Frankfort, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.001399,0,,,
2009-2019,23180,"Frankfort, KY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.004312,0,,,
2014-2019,23180,"Frankfort, KY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.078574002,0,,,
2018-2019,23180,"Frankfort, KY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.050117999,0,,,
2009-2019,23240,"Fredericksburg, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.009185,0,,,
2014-2019,23240,"Fredericksburg, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.008527,0,,,
2018-2019,23240,"Fredericksburg, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.048969001,0,,,
2009-2019,23300,"Freeport, IL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.036663,0,,,
2014-2019,23300,"Freeport, IL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.054276999,0,,,
2018-2019,23300,"Freeport, IL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.009494,0,,,
2009-2019,23340,"Fremont, NE",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.049320001,0,,,
2014-2019,23340,"Fremont, NE",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.026405999,0,,,
2018-2019,23340,"Fremont, NE",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.098274998,0,,,
2009-2019,23380,"Fremont, OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.031920001,0,,,
2014-2019,23380,"Fremont, OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.016717,0,,,
2018-2019,23380,"Fremont, OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.047056999,0,,,
2009-2019,23420,"Fresno, CA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.012955,1,Large,116,30
2014-2019,23420,"Fresno, CA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.012228,1,Large,121,30
2018-2019,23420,"Fresno, CA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.011448,1,Large,57,13
2009-2019,23460,"Gadsden, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.036563002,0,,,
2014-2019,23460,"Gadsden, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.045274001,0,,,
2018-2019,23460,"Gadsden, AL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.039055001,0,,,
2009-2019,23500,"Gaffney, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.001611,0,,,
2014-2019,23500,"Gaffney, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.006585,0,,,
2018-2019,23500,"Gaffney, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.016488999,0,,,
2009-2019,23540,"Gainesville, FL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.007819,1,Midsized,142,64
2014-2019,23540,"Gainesville, FL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.011553,1,Midsized,126,53
2018-2019,23540,"Gainesville, FL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.006494,1,Midsized,82,39
2009-2019,23580,"Gainesville, GA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.013595,0,,,
2014-2019,23580,"Gainesville, GA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.021454999,0,,,
2018-2019,23580,"Gainesville, GA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.019410999,0,,,
2009-2019,23620,"Gainesville, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.000639,0,,,
2014-2019,23620,"Gainesville, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.01694,0,,,
2018-2019,23620,"Gainesville, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.032145001,0,,,
2009-2019,23660,"Galesburg, IL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.025942,0,,,
2014-2019,23660,"Galesburg, IL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.010203,0,,,
2018-2019,23660,"Galesburg, IL",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.031035,0,,,
2009-2019,23700,"Gallup, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.028186999,0,,,
2014-2019,23700,"Gallup, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.074358001,0,,,
2018-2019,23700,"Gallup, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.043425001,0,,,
2009-2019,23780,"Garden City, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.032664001,0,,,
2014-2019,23780,"Garden City, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.004974,0,,,
2018-2019,23780,"Garden City, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.023071,0,,,
2009-2019,23820,"Gardnerville Ranchos, NV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.010654,0,,,
2014-2019,23820,"Gardnerville Ranchos, NV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.008603,0,,,
2018-2019,23820,"Gardnerville Ranchos, NV",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.021175999,0,,,
2009-2019,23860,"Georgetown, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.008203,0,,,
2014-2019,23860,"Georgetown, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.015887,0,,,
2018-2019,23860,"Georgetown, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.023797,0,,,
2009-2019,23900,"Gettysburg, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.01186,0,,,
2014-2019,23900,"Gettysburg, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.011151,0,,,
2018-2019,23900,"Gettysburg, PA",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.016650001,0,,,
2009-2019,23940,"Gillette, WY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.016678,0,,,
2014-2019,23940,"Gillette, WY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.055716,0,,,
2018-2019,23940,"Gillette, WY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.009053,0,,,
2009-2019,23980,"Glasgow, KY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.005846,0,,,
2014-2019,23980,"Glasgow, KY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.004311,0,,,
2018-2019,23980,"Glasgow, KY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.0044,0,,,
2009-2019,24020,"Glens Falls, NY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.041723002,0,,,
2014-2019,24020,"Glens Falls, NY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.063523002,0,,,
2018-2019,24020,"Glens Falls, NY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.028271001,0,,,
2009-2019,24060,"Glenwood Springs, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.00011,0,,,
2014-2019,24060,"Glenwood Springs, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.010252,0,,,
2018-2019,24060,"Glenwood Springs, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.021845,0,,,
2009-2019,24100,"Gloversville, NY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.033512998,0,,,
2014-2019,24100,"Gloversville, NY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.010523,0,,,
2018-2019,24100,"Gloversville, NY",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.009488,0,,,
2009-2019,24140,"Goldsboro, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.025389999,0,,,
2014-2019,24140,"Goldsboro, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.001214,0,,,
2018-2019,24140,"Goldsboro, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.008313,0,,,
2009-2019,24180,"Granbury, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.039303001,0,,,
2014-2019,24180,"Granbury, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.033672001,0,,,
2018-2019,24180,"Granbury, TX",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.01921,0,,,
2009-2019,24220,"Grand Forks, ND-MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.011818,0,,,
2014-2019,24220,"Grand Forks, ND-MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.03187,0,,,
2018-2019,24220,"Grand Forks, ND-MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.000514,0,,,
2009-2019,24260,"Grand Island, NE",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.00602,0,,,
2014-2019,24260,"Grand Island, NE",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.033543002,0,,,
2018-2019,24260,"Grand Island, NE",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.001973,0,,,
2009-2019,24300,"Grand Junction, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.065844998,0,,,
2014-2019,24300,"Grand Junction, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.094320998,0,,,
2018-2019,24300,"Grand Junction, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.045219999,0,,,
2009-2019,24330,"Grand Rapids, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.045646999,0,,,
2014-2019,24330,"Grand Rapids, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.042355001,0,,,
2018-2019,24330,"Grand Rapids, MN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.028042,0,,,
2009-2019,24340,"Grand Rapids-Kentwood, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.024958,1,Very Large,61,12
2014-2019,24340,"Grand Rapids-Kentwood, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.006588,1,Very Large,144,47
2018-2019,24340,"Grand Rapids-Kentwood, MI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.012184,1,Very Large,156,49
2009-2019,24420,"Grants Pass, OR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.004144,0,,,
2014-2019,24420,"Grants Pass, OR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.015256,0,,,
2018-2019,24420,"Grants Pass, OR",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.023224,0,,,
2009-2019,24380,"Grants, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.02791,0,,,
2014-2019,24380,"Grants, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.074839003,0,,,
2018-2019,24380,"Grants, NM",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.043584999,0,,,
2009-2019,24460,"Great Bend, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.016705001,0,,,
2014-2019,24460,"Great Bend, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018873001,0,,,
2018-2019,24460,"Great Bend, KS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.037367001,0,,,
2009-2019,24500,"Great Falls, MT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.001074,0,,,
2014-2019,24500,"Great Falls, MT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.025286,0,,,
2018-2019,24500,"Great Falls, MT",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.045063,0,,,
2009-2019,24540,"Greeley, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.034823,1,Midsized,26,17
2014-2019,24540,"Greeley, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.042350002,1,Midsized,18,14
2018-2019,24540,"Greeley, CO",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.018267,1,Midsized,27,17
2009-2019,24580,"Green Bay, WI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.028581001,1,Midsized,44,23
2014-2019,24580,"Green Bay, WI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.004499,1,Midsized,170,70
2018-2019,24580,"Green Bay, WI",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.000808,1,Midsized,119,49
2009-2019,24620,"Greeneville, TN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.035477001,0,,,
2014-2019,24620,"Greeneville, TN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.039023001,0,,,
2018-2019,24620,"Greeneville, TN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.016718,0,,,
2009-2019,24660,"Greensboro-High Point, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.003281,1,Large,169,46
2014-2019,24660,"Greensboro-High Point, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.002973,1,Large,169,49
2018-2019,24660,"Greensboro-High Point, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.014963,1,Large,166,47
2009-2019,24700,"Greensburg, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.028882001,0,,,
2014-2019,24700,"Greensburg, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.034235999,0,,,
2018-2019,24700,"Greensburg, IN",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.050891001,0,,,
2009-2019,24740,"Greenville, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.021174001,0,,,
2014-2019,24740,"Greenville, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.031456999,0,,,
2018-2019,24740,"Greenville, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.026622999,0,,,
2009-2019,24780,"Greenville, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.106622003,0,,,
2014-2019,24780,"Greenville, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.054481,0,,,
2018-2019,24780,"Greenville, NC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.074087001,0,,,
2009-2019,24820,"Greenville, OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.021573,0,,,
2014-2019,24820,"Greenville, OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.002873,0,,,
2018-2019,24820,"Greenville, OH",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.011508,0,,,
2009-2019,24860,"Greenville-Anderson, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.007604,1,Large,144,36
2014-2019,24860,"Greenville-Anderson, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.013637,1,Large,111,27
2018-2019,24860,"Greenville-Anderson, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.015059,1,Large,167,48
2009-2019,24900,"Greenwood, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,0.005415,0,,,
2014-2019,24900,"Greenwood, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.045897,0,,,
2018-2019,24900,"Greenwood, MS",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.015951,0,,,
2009-2019,24940,"Greenwood, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.062105998,0,,,
2014-2019,24940,"Greenwood, SC",Total,Total,Percentage-Point Change in Relative Income Poverty Rate,-0.03077,0,,,
