year,cbsa,cbsaname,race,education,indicator,value,topmetro,metrosize
2018,22620,"Forrest City, AR",Total,Total,Relative Income Poverty Rate,0.231859878,0,
2019,22620,"Forrest City, AR",Total,Total,Relative Income Poverty Rate,0.247515991,0,
2009,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.31536755,1,Midsized
2010,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.32647869,1,Midsized
2011,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.298928678,1,Midsized
2012,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.322955579,1,Midsized
2013,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.31623593,1,Midsized
2014,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.294749439,1,Midsized
2015,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.288462132,1,Midsized
2016,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.285534829,1,Midsized
2017,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.307163358,1,Midsized
2018,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.276691347,1,Midsized
2019,22660,"Fort Collins, CO",Total,Total,Relative Income Poverty Rate,0.289962262,1,Midsized
2009,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.300874025,0,
2010,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.284484118,0,
2011,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.281900734,0,
2012,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.284958988,0,
2013,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.27249521,0,
2014,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.280771732,0,
2015,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.23541905,0,
2016,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.26264739,0,
2017,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.250096381,0,
2018,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.260864824,0,
2019,22700,"Fort Dodge, IA",Total,Total,Relative Income Poverty Rate,0.250987917,0,
2009,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.281584859,0,
2010,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.281757951,0,
2011,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.30672586,0,
2012,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.255880266,0,
2013,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.252012938,0,
2014,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.292436838,0,
2015,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.264694363,0,
2016,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.255769461,0,
2017,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.297799468,0,
2018,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.273567945,0,
2019,22780,"Fort Leonard Wood, MO",Total,Total,Relative Income Poverty Rate,0.273645163,0,
2009,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.294713736,0,
2010,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.298730046,0,
2011,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.263361812,0,
2012,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.276515543,0,
2013,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.260664493,0,
2014,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.262781918,0,
2015,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.271616489,0,
2016,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.290468633,0,
2017,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.289541632,0,
2018,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.291329235,0,
2019,22800,"Fort Madison-Keokuk, IA-IL-MO",Total,Total,Relative Income Poverty Rate,0.279016078,0,
2009,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.296517849,0,
2010,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.277359039,0,
2011,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.303464741,0,
2012,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.292880654,0,
2013,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.244155049,0,
2014,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.246328607,0,
2015,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.271706462,0,
2016,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.284773231,0,
2017,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.296759665,0,
2018,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.233223408,0,
2019,22820,"Fort Morgan, CO",Total,Total,Relative Income Poverty Rate,0.24741888,0,
2009,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.228431076,0,
2010,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.22682935,0,
2011,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.266482413,0,
2012,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.239376724,0,
2013,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.246240988,0,
2014,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.257961422,0,
2015,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.212503001,0,
2016,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.215857774,0,
2017,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.189101249,0,
2018,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.243992805,0,
2019,22840,"Fort Payne, AL",Total,Total,Relative Income Poverty Rate,0.252186418,0,
2009,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.232614338,0,
2010,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.274941862,0,
2011,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.254741341,0,
2012,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.235206828,0,
2013,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.25242278,0,
2014,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.236637771,0,
2015,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.257353276,0,
2016,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.265591979,0,
2017,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.255063474,0,
2018,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.209027588,0,
2019,22860,"Fort Polk South, LA",Total,Total,Relative Income Poverty Rate,0.291462481,0,
2009,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.230959058,1,Midsized
2010,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.214441627,1,Midsized
2011,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.250193566,1,Midsized
2012,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.224954471,1,Midsized
2013,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.236576617,1,Midsized
2014,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.241104633,1,Midsized
2015,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.260259837,1,Midsized
2016,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.22582373,1,Midsized
2017,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.251081258,1,Midsized
2018,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.245314255,1,Midsized
2019,22900,"Fort Smith, AR-OK",Total,Total,Relative Income Poverty Rate,0.20639205,1,Midsized
2009,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.282702982,1,Midsized
2010,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.243011817,1,Midsized
2011,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.270805925,1,Midsized
2012,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.282544374,1,Midsized
2013,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.275492877,1,Midsized
2014,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.269930243,1,Midsized
2015,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.256821096,1,Midsized
2016,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.261728883,1,Midsized
2017,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.24837479,1,Midsized
2018,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.229035929,1,Midsized
2019,23060,"Fort Wayne, IN",Total,Total,Relative Income Poverty Rate,0.242696077,1,Midsized
2009,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.31328401,0,
2010,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.342671037,0,
2011,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.333861262,0,
2012,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.244420767,0,
2013,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.231201306,0,
2014,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.246442348,0,
2015,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.281899124,0,
2016,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.23216714,0,
2017,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.239955693,0,
2018,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.251609355,0,
2019,23140,"Frankfort, IN",Total,Total,Relative Income Poverty Rate,0.250210822,0,
2009,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.293516427,0,
2010,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.307133347,0,
2011,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.250176132,0,
2012,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.30197072,0,
2013,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.273440391,0,
2014,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.219254911,0,
2015,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.245209321,0,
2016,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.224725097,0,
2017,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.23694779,0,
2018,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.247710869,0,
2019,23180,"Frankfort, KY",Total,Total,Relative Income Poverty Rate,0.297828466,0,
2009,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.243114218,0,
2010,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.268641382,0,
2011,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.256894171,0,
2012,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.250475526,0,
2013,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.264660418,0,
2014,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.260826498,0,
2015,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.254701167,0,
2016,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.287284285,0,
2017,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.263385087,0,
2018,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.30126822,0,
2019,23240,"Fredericksburg, TX",Total,Total,Relative Income Poverty Rate,0.252299488,0,
2009,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.262684464,0,
2010,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.268461496,0,
2011,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.264492899,0,
2012,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.253679574,0,
2013,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.247625276,0,
2014,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.280298442,0,
2015,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.263724238,0,
2016,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.228150338,0,
2017,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.251479298,0,
2018,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.235516369,0,
2019,23300,"Freeport, IL",Total,Total,Relative Income Poverty Rate,0.226021901,0,
2009,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.268054813,0,
2010,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.290079564,0,
2011,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.251172721,0,
2012,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.273251027,0,
2013,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.25126642,0,
2014,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.290968746,0,
2015,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.249762982,0,
2016,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.268307,0,
2017,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.264851242,0,
2018,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.219099954,0,
2019,23340,"Fremont, NE",Total,Total,Relative Income Poverty Rate,0.317375153,0,
2009,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.316043466,0,
2010,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.276074022,0,
2011,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.277874798,0,
2012,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.280933529,0,
2013,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.280917227,0,
2014,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.267406017,0,
2015,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.299638867,0,
2016,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.275267899,0,
2017,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.265439332,0,
2018,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.237066031,0,
2019,23380,"Fremont, OH",Total,Total,Relative Income Poverty Rate,0.284123272,0,
2009,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.260407746,1,Large
2010,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.287666023,1,Large
2011,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.279416502,1,Large
2012,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.280159801,1,Large
2013,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.285384655,1,Large
2014,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.259680778,1,Large
2015,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.259938538,1,Large
2016,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.264616847,1,Large
2017,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.279128492,1,Large
2018,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.258900911,1,Large
2019,23420,"Fresno, CA",Total,Total,Relative Income Poverty Rate,0.247452766,1,Large
2009,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.277667135,0,
2010,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.266259193,0,
2011,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.254822522,0,
2012,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.260173023,0,
2013,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.265162259,0,
2014,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.286378652,0,
2015,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.247727379,0,
2016,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.210247591,0,
2017,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.229857191,0,
2018,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.202049389,0,
2019,23460,"Gadsden, AL",Total,Total,Relative Income Poverty Rate,0.241104171,0,
2009,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.242933601,0,
2010,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.244718701,0,
2011,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.269259363,0,
2012,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.259492636,0,
2013,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.241327479,0,
2014,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.251130074,0,
2015,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.247829348,0,
2016,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.236448213,0,
2017,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.263864189,0,
2018,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.228055999,0,
2019,23500,"Gaffney, SC",Total,Total,Relative Income Poverty Rate,0.244544625,0,
2009,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.298787415,1,Midsized
2010,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.314109832,1,Midsized
2011,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.31912297,1,Midsized
2012,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.317290694,1,Midsized
2013,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.283683866,1,Midsized
2014,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.30252105,1,Midsized
2015,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.302784204,1,Midsized
2016,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.300499886,1,Midsized
2017,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.297407687,1,Midsized
2018,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.297462255,1,Midsized
2019,23540,"Gainesville, FL",Total,Total,Relative Income Poverty Rate,0.29096821,1,Midsized
2009,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.213454753,0,
2010,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.241667196,0,
2011,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.208597019,0,
2012,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.240153462,0,
2013,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.218884706,0,
2014,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.221314862,0,
2015,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.213441551,0,
2016,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.209885433,0,
2017,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.23808229,0,
2018,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.219270453,0,
2019,23580,"Gainesville, GA",Total,Total,Relative Income Poverty Rate,0.199859589,0,
2009,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.238317505,0,
2010,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.278158993,0,
2011,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.285974801,0,
2012,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.261330426,0,
2013,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.265126526,0,
2014,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.255896509,0,
2015,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.241251096,0,
2016,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.254827946,0,
2017,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.272261441,0,
2018,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.271101922,0,
2019,23620,"Gainesville, TX",Total,Total,Relative Income Poverty Rate,0.238956869,0,
2009,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.310275316,0,
2010,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.274169356,0,
2011,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.251229644,0,
2012,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.26155138,0,
2013,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.276820809,0,
2014,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.294536531,0,
2015,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.30210939,0,
2016,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.271476656,0,
2017,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.255734473,0,
2018,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.253298163,0,
2019,23660,"Galesburg, IL",Total,Total,Relative Income Poverty Rate,0.284333348,0,
2009,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.261579782,0,
2010,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.288300514,0,
2011,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.25307107,0,
2012,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.246223673,0,
2013,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.309740245,0,
2014,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.30775103,0,
2015,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.229194239,0,
2016,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.27879861,0,
2017,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.281276137,0,
2018,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.276817918,0,
2019,23700,"Gallup, NM",Total,Total,Relative Income Poverty Rate,0.233392864,0,
2009,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.234326363,0,
2010,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.216760471,0,
2011,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.277252585,0,
2012,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.241582066,0,
2013,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.247140035,0,
2014,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.262016058,0,
2015,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.270267695,0,
2016,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.233039215,0,
2017,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.245338053,0,
2018,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.243919849,0,
2019,23780,"Garden City, KS",Total,Total,Relative Income Poverty Rate,0.266990542,0,
2009,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.266494304,0,
2010,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.278554827,0,
2011,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.269911289,0,
2012,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.247176498,0,
2013,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.275536239,0,
2014,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.264443219,0,
2015,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.277198702,0,
2016,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.257416129,0,
2017,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.245232061,0,
2018,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.234664619,0,
2019,23820,"Gardnerville Ranchos, NV",Total,Total,Relative Income Poverty Rate,0.255840212,0,
2009,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.255003691,0,
2010,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.292472541,0,
2011,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.275628865,0,
2012,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.255841762,0,
2013,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.261870384,0,
2014,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.230913997,0,
2015,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.24686335,0,
2016,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.244644955,0,
2017,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.274529785,0,
2018,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.270598114,0,
2019,23860,"Georgetown, SC",Total,Total,Relative Income Poverty Rate,0.246801093,0,
2009,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.264449924,0,
2010,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.265409648,0,
2011,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.258056581,0,
2012,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.246853605,0,
2013,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.29304412,0,
2014,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.287461251,0,
2015,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.272914648,0,
2016,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.283309102,0,
2017,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.266650736,0,
2018,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.259659827,0,
2019,23900,"Gettysburg, PA",Total,Total,Relative Income Poverty Rate,0.276310265,0,
2009,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.274118155,0,
2010,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.277316391,0,
2011,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.297759295,0,
2012,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.293889493,0,
2013,23940,"Gillette, WY",Total,Total,Relative Income Poverty Rate,0.27841571,0,
